fid,gid,emd_cd,emd_nm_k,emd_nm_e,sgg_cd,sgg_nm_k,sgg_nm_e,sido_cd,sido_nm_k,sido_nm_e,value,stats_year,raw_d_year,NUMPOINTS,CHARGING,공연시설_공연시설접근성,공시지가_공시지가,도서관_도서관접근성,병원_병원접근성,보건기관_보건기관접근성,생활권공원_생활권공원 접근성,소방서_소방서접근성,인구_인구,주제공원_주제공원접근성,주차장_주차장접근성,체육시설__체육시설접근성,초등학교_초등학교접근성
"5297",다라25aa73ba,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,5.318,"2022","202303",0,0,7.72,847.29,4.795,7.45,6.741,7.589,6.572,,6.297,6.466,7.498,7.212
"5298",다라24bb69ab,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.234,"2022","202303",0,0,4.328,,5.261,5.286,4.604,5.301,4.5,,4.565,4.138,3.882,4.518
"5299",다라22aa73ba,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.6,"2022","202303",0,0,8.382,3140.01,9.801,13.112,4.645,13.365,12.325,,12.39,4.528,4.998,4.56
"5300",다라19ab68ab,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.93,"2022","202303",0,0,5.092,13872.69,6.505,12.281,2.975,9.261,11.493,,11.559,2.943,2.815,3.182
"5301",다라23aa66aa,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.179,"2022","202303",0,0,3.93,13500.01,9.174,17.491,6.308,8.71,11.735,,13.445,6.19,5.576,6.222
"5302",다라24bb72ab,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,6.015,"2022","202303",0,0,8.418,15070.18,5.493,8.098,6.916,8.286,7.269,17,6.994,7.164,7.268,6.831
"5303",다라23aa66ba,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.877,"2022","202303",0,0,0.766,13511.83,5.871,9.482,4.946,7.619,7.61,,6.561,4.829,4.25,4.861
"5304",다라24aa68ba,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.448,"2022","202303",0,0,4.151,30681.41,5.443,6.355,3.493,6.564,5.568,0,5.634,3.027,3.212,3.407
"5305",다라23ab68aa,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.536,"2022","202303",0,0,1.631,2243.89,5.756,9.367,6.98,7.038,6.945,,6.446,5.529,5.595,6.343
"5306",다라19ba66ab,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,5.127,"2022","202303",0,0,4.796,3196.17,9.919,18.249,5.391,9.468,13.746,,15.115,5.359,5.231,5.598
"5307",다라21ba71ab,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.067,"2022","202303",0,0,6.337,12763.39,6.688,11.067,2.111,10.388,10.28,,10.346,2.483,2.464,2.515
"5308",다라21ba73ab,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.619,"2022","202303",0,0,8.401,1023.65,10.095,13.13,4.664,13.384,12.344,,11.976,4.547,5.017,4.579
"5309",다라21ab67aa,"46170360",다시면,Dasi-myeon,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.868,"2022","202303",0,0,1.858,17000,7.032,15.31,4.127,6.53,9.555,,12.095,4.01,2.939,4.042
