fid,gid,emd_cd,emd_nm_k,emd_nm_e,sgg_cd,sgg_nm_k,sgg_nm_e,sido_cd,sido_nm_k,sido_nm_e,value,stats_year,raw_d_year,NUMPOINTS,CHARGING,공연시설_공연시설접근성,공시지가_공시지가,도서관_도서관접근성,병원_병원접근성,보건기관_보건기관접근성,생활권공원_생활권공원 접근성,소방서_소방서접근성,인구_인구,주제공원_주제공원접근성,주차장_주차장접근성,체육시설__체육시설접근성,초등학교_초등학교접근성
"1",다라29ab68bb,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.747,"2022","202303",0,0,1.965,38583.29,2.099,3.245,3.11,1.558,2.971,,1.917,0.706,1.482,2.139
"2",다라29bb68ab,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.871,"2022","202303",0,0,4.329,,2.846,6.209,3.362,3.674,3.348,,3.07,2.323,1.117,3.027
"3",다라30ab68ba,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.148,"2022","202303",0,0,3.991,,3.798,5.023,3.439,3.583,4.3,,3.943,2.648,2.069,3.978
"4",다라30ab68bb,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.974,"2022","202303",0,0,3.817,,4.1,4.849,3.265,3.41,4.602,,3.769,2.474,2.372,4.281
"5",다라29bb69aa,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.974,"2022","202303",0,0,2.572,46399.5,1.98,3.126,2.991,2.165,3.577,0,2.523,1.533,1.434,2.346
"6",다라29bb69ba,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.77,"2022","202303",0,0,2.368,51117.42,1.644,2.79,2.655,1.721,3.373,,2.32,1.109,1.117,2.01
"7",다라29ba68ab,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.609,"2022","202303",0,0,4.067,16500,2.583,6.854,3.099,3.412,3.085,,2.808,2.06,1.392,2.764
"8",다라29ba68ba,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.162,"2022","202303",0,0,2.38,16690.92,2.339,3.485,3.35,1.973,3.386,,2.332,1.121,1.155,2.56
"9",다라29bb68aa,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.04,"2022","202303",0,0,4.067,,2.584,6.059,3.1,3.001,3.086,,2.808,2.061,0.855,2.765
"10",다라29ba69ba,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.493,"2022","202303",0,0,2.091,86863.83,1.386,2.532,2.397,1.445,3.097,19,2.043,0.832,0.84,1.752
"11",다라29ab69ba,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.378,"2022","202303",0,0,1.698,89561.16,1.247,2.393,2.258,1.179,2.42,68,1.958,0.747,0.574,1.614
"12",다라30ab69ab,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.337,"2022","202303",0,0,2.555,16600,2.8,3.812,3.323,2.148,3.56,,2.507,1.212,1.681,3.166
"13",다라30aa68aa,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.249,"2022","202303",0,0,4.526,16600,3.042,5.633,3.558,3.459,3.544,,3.267,2.519,1.313,3.223
"14",다라30aa69ab,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.123,"2022","202303",0,0,2.721,30928.75,2.102,3.019,3.113,2.314,3.727,,2.673,1.892,1.583,2.468
"15",다라29ab69aa,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.626,"2022","202303",0,0,1.883,51614.43,1.822,2.968,2.833,1.476,2.888,,1.835,0.624,1.07,2.086
"16",다라30aa68ba,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.654,"2022","202303",0,0,2.891,17300,2.85,3.996,3.861,2.484,3.897,,2.843,1.693,1.666,3.07
"17",다라29bb69ab,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.721,"2022","202303",0,0,2.319,34093.29,1.727,2.873,2.738,1.912,3.324,0,2.27,1.375,1.181,2.093
"18",다라29bb68bb,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.153,"2022","202303",0,0,2.411,39372.75,2.35,3.496,3.361,2.004,3.417,,2.363,1.152,1.396,2.716
"19",다라29ab68ba,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.967,"2022","202303",0,0,2.185,16527.84,2.319,3.465,3.33,1.778,3.191,,2.137,0.926,1.426,2.359
"20",다라29ba69aa,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.681,"2022","202303",0,0,1.939,55134.52,1.878,3.023,2.888,1.532,2.944,0,1.891,0.68,1.126,2.244
"21",다라29ab69bb,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.66,"2022","202303",0,0,1.818,125006.47,0.945,2.091,1.956,1.299,2.228,0,2.075,1.031,0.694,1.311
"22",다라30aa68bb,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.611,"2022","202303",0,0,2.848,16600,2.807,3.953,3.818,2.441,3.854,,2.8,1.416,1.623,3.028
"23",다라29ba68bb,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.817,"2022","202303",0,0,2.075,51219.73,2.013,3.159,3.024,1.668,3.08,,2.026,0.815,1.262,2.38
"24",다라29ba69bb,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.12,"2022","202303",0,0,2.333,64703.43,1.169,2.315,2.18,1.557,2.452,10,2.299,1.494,1.21,1.536
"25",다라30ab69aa,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.364,"2022","202303",0,0,2.583,16600.04,2.828,3.84,3.329,2.175,3.588,,2.535,1.24,1.709,3.193
"26",다라30ab68ab,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.341,"2022","202303",0,0,4.183,,3.451,5.216,3.632,3.776,3.953,,3.675,2.841,1.722,3.632
"27",다라29ba69ab,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.538,"2022","202303",0,0,1.757,49241.86,2.002,3.147,3.504,1.35,2.762,,1.709,1.433,0.883,2.368
"28",다라29bb68ba,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.104,"2022","202303",0,0,2.362,16559.67,2.3,3.446,3.311,1.954,3.367,,2.313,1.102,1.346,2.666
"29",다라29ab69ab,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.185,"2022","202303",0,1,1.604,67597.11,1.444,2.59,2.455,1.197,2.609,27,1.556,0.345,0.633,1.81
"30",다라30aa68ab,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.672,"2022","202303",0,0,4.652,16500,3.168,5.923,3.684,3.997,3.671,,3.393,2.645,1.44,3.349
"31",다라30aa69aa,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.722,"2022","202303",0,0,2.96,24152.86,2.918,4.064,3.928,2.553,3.965,0,2.912,1.13,1.734,3.139
"32",다라29ab68ab,"46170101",토계동,Togye-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.355,"2022","202303",0,0,3.813,,2.33,6.601,2.846,3.159,2.832,,2.554,1.807,1.139,2.511
"33",다라28ab70aa,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.241,"2022","202303",0,13,0.719,526232.64,1.383,2.652,1.641,0.252,0.9,733,1.315,0.865,1.25,0.944
"34",다라28ab69ab,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.271,"2022","202303",0,1,0.784,847305.18,1.61,3.175,2.164,0.499,1.423,76,0.737,0.461,0.902,1.504
"35",다라27bb68bb,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.402,"2022","202303",0,0,0.771,63213.5,1.15,4.107,2.704,1.479,2.355,20,0.666,0.887,0.496,1.272
"36",다라28aa69aa,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.204,"2022","202303",0,5,0.474,392594.52,1.23,3.528,2.517,0.928,1.776,51,0.181,0.376,0.418,1.16
"37",다라28bb70ab,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.415,"2022","202303",0,4,1.319,116206.07,1.027,1.504,1.132,0.968,1.616,61,1.251,0.556,0.87,0.488
"38",다라28ab69aa,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.483,"2022","202303",0,1,0.609,404203.82,1.415,3.396,2.385,0.768,1.644,6,0.542,0.566,0.707,1.346
"39",다라28bb69aa,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.721,"2022","202303",0,0,1.939,138033.46,2.1,3.524,3.686,1.532,2.944,,1.892,0.681,1.066,2.029
"40",다라28ba70aa,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.467,"2022","202303",0,0,0.89,,1.08,1.993,1.197,0.54,1.188,,1.315,0.759,1.375,0.815
"41",다라27ba69aa,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.014,"2022","202303",0,0,1.186,3000,1.718,4.524,3.272,1.971,2.772,,1.081,1.301,0.911,1.84
"42",다라28aa70ab,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.18,"2022","202303",1,22,0.96,187413.5,0.885,2.35,1.143,0.827,0.597,386,1.086,0.341,1.348,0.786
"43",다라27bb69aa,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.586,"2022","202303",0,0,0.956,5661.27,1.487,4.295,3.042,1.741,2.542,,0.851,1.071,0.68,1.61
"44",다라29aa69ba,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.306,"2022","202303",0,0,1.49,110415.25,1.363,2.508,2.373,0.971,2.212,12,1.651,0.44,0.367,1.728
"45",다라28aa68bb,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.166,"2022","202303",0,2,0.535,299333.98,1.123,3.868,2.678,1.24,2.116,78,0.431,0.651,0.26,1.245
"46",다라29aa69bb,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.716,"2022","202303",0,0,1.873,173896.72,1.321,2.467,2.332,1.354,2.604,,2.034,0.823,0.75,1.688
"47",다라29aa70aa,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.477,"2022","202303",0,0,1.655,161745.08,1.212,1.689,1.317,1.272,1.589,,1.435,0.741,1.055,0.672
"48",다라29aa68bb,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.684,"2022","202303",0,0,1.903,99513.26,1.987,3.488,3.65,1.496,2.908,0,1.855,0.644,1.371,1.917
"49",다라28ab70ab,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.334,"2022","202303",0,4,0.962,446405.74,1.196,2.005,1.209,0.511,0.712,495,1.395,0.496,1.389,0.827
"50",다라28ab69bb,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.24,"2022","202303",0,13,0.435,464212.59,1.64,2.103,1.307,0.188,1.156,491,0.983,0.869,0.919,0.925
"51",다라28ab69ba,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.282,"2022","202303",0,17,0.826,488895.69,1.957,3.3,2.289,0.357,1.548,1032,1.084,0.924,0.965,1.439
"52",다라27ba69ab,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.056,"2022","202303",0,0,1.286,,2.537,3.846,2.835,1.608,2.094,,1.664,1.04,0.536,2.178
"53",다라27bb69ab,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.245,"2022","202303",0,0,0.272,15185.26,1.758,3.765,2.754,1.165,2.013,,0.61,0.497,0.811,1.688
"54",다라27bb69ba,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.534,"2022","202303",0,0,0.789,103525.06,2.041,3.35,2.339,1.112,1.598,0,1.168,0.544,0.328,1.681
"55",다라27bb69bb,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.806,"2022","202303",0,0,1.061,5950,2.313,3.622,2.611,1.384,1.869,,1.439,0.816,0.352,1.953
"56",다라28ba68bb,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.09,"2022","202303",0,2,1.59,24109.3,1.186,4.377,2.941,0.776,2.625,,1.402,0.827,0.225,1.116
"57",다라28aa69bb,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.222,"2022","202303",0,2,0.226,185437.95,1.681,2.949,1.939,0.756,1.197,9,1.002,0.984,0.991,1.561
"58",다라28aa69ba,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.264,"2022","202303",0,10,0.562,336728.47,1.723,2.992,1.981,0.798,1.239,126,1.044,0.402,0.622,1.603
"59",다라28ba69bb,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.24,"2022","202303",0,0,0.694,165314.54,1.899,3.168,2.157,0.391,1.416,193,1.243,1.224,0.832,1.306
"60",다라28bb69ba,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.59,"2022","202303",0,0,0.952,153182.04,1.79,3.426,2.416,0.434,1.674,13,1.306,0.723,0.193,1.565
"61",다라29aa69aa,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.428,"2022","202303",0,0,1.646,153010.32,1.979,3.23,3.393,1.239,2.652,,1.599,0.388,0.772,1.908
"62",다라27bb70aa,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.344,"2022","202303",0,0,0.521,8301.25,2.07,3.339,2.328,1.145,1.587,,1.392,0.974,1.194,1.95
"63",다라28ba69aa,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.297,"2022","202303",0,3,0.864,106499.68,1.273,3.621,2.61,0.329,1.869,,0.816,0.354,1.001,1.203
"64",다라27bb70ab,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.624,"2022","202303",0,0,1.559,34494.83,1.133,2.378,1.391,1.426,0.625,0,1.309,0.94,1.661,1.385
"65",다라28ab68bb,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.487,"2022","202303",0,0,1.052,15222.83,0.858,3.809,2.613,0.606,2.057,,1.004,0.542,0.537,0.788
"66",다라29aa69ab,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.301,"2022","202303",0,0,1.456,97357.26,1.501,2.647,2.512,0.938,2.178,8,1.734,0.434,0.333,1.867
"67",다라28aa70aa,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.26,"2022","202303",0,0,0.797,131547.5,2.091,3.36,2.349,1.167,1.608,364,1.241,1.223,1.318,1.743
"68",다라28ba69ba,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.312,"2022","202303",0,0,0.835,434507.45,1.981,3.309,2.298,0.22,1.557,149,1.108,0.832,0.589,1.447
"69",다라28ba69ab,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.066,"2022","202303",0,1,0.762,867866.36,1.588,3.519,2.509,0.261,1.767,89,0.714,0.438,0.845,1.518
"70",다라28ba70ab,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.225,"2022","202303",0,0,1.076,273972.78,1.266,1.751,1.383,0.726,1.374,48,1.501,0.803,1.117,1.001
"71",다라28bb69bb,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.624,"2022","202303",0,0,0.958,173900.04,2.13,3.432,2.421,0.439,1.68,,1.312,1.183,0.612,1.57
"72",다라28bb69ab,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.497,"2022","202303",0,0,1.302,129424.63,1.697,2.843,2.766,0.784,2.024,8,1.58,0.63,0.179,1.915
"73",다라28bb68bb,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.499,"2022","202303",0,0,2.015,173499.43,1.611,4.802,3.366,1.17,3.05,6,1.827,1.251,0.199,1.541
"74",다라28aa69ab,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.106,"2022","202303",0,7,0.323,469543.21,1.426,3.433,2.423,0.834,1.682,42,0.357,0.173,0.718,1.357
"75",다라28bb70aa,"46170102",송월동,Songwol-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.915,"2022","202303",0,0,1.465,173900,1.266,1.743,1.372,1.114,1.762,,1.49,0.796,1.109,0.727
"76",다라25ab68aa,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.81,"2022","202303",0,0,3.277,11706.05,2.817,6.624,4.04,3.937,4.006,,3.507,2.59,2.655,3.404
"77",다라26aa68aa,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.899,"2022","202303",0,0,2.222,27727.82,1.998,6.448,3.505,3.382,3.47,0,2.641,2.196,2.358,2.84
"78",다라24bb68ba,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.323,"2022","202303",0,0,3.417,2920,3.831,5.804,5.056,4.952,5.018,,4.521,3.605,3.671,4.419
"79",다라27ab69bb,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.175,"2022","202303",0,0,1.404,15261.22,1.901,3.145,2.159,1.727,1.393,0,1.782,1.159,0.655,2.152
"80",다라24bb68bb,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.937,"2022","202303",0,0,4.031,2654.07,4.445,5.54,5.3,5.566,4.753,,4.819,4.219,4.136,5.033
"81",다라26ba69aa,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.676,"2022","202303",0,0,2.635,3415.03,3.012,4.257,3.27,3.305,2.504,,3.188,2.39,1.886,3.264
"82",다라27aa69ab,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.082,"2022","202303",0,0,2.311,3503.93,2.688,3.933,2.946,2.982,2.18,,2.864,2.067,1.562,2.94
"83",다라25bb67bb,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.265,"2022","202303",0,0,3.297,11058.66,2.272,6.962,3.496,3.392,3.461,0,2.962,2.045,2.111,2.859
"84",다라27aa69ba,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.601,"2022","202303",0,0,1.83,13980.36,2.207,3.484,3.244,2.5,1.699,,2.763,1.585,1.081,2.459
"85",다라25ba69ba,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.788,"2022","202303",0,0,3.776,13866.49,4.407,4.432,4.192,4.447,3.645,,3.711,3.532,3.027,4.522
"86",다라25ab69aa,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.678,"2022","202303",0,0,3.722,7711.17,4.136,5.021,4.781,5.036,4.234,0,4.3,3.91,3.617,4.724
"87",다라27ba69ba,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.709,"2022","202303",0,0,1.964,6518.76,2.247,3.492,2.505,2.54,1.74,,2.422,1.719,0.255,2.499
"88",다라25bb68aa,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.865,"2022","202303",0,0,2.188,16869.81,1.964,6.232,3.47,3.347,3.436,13,2.607,2.162,2.324,2.806
"89",다라24bb68aa,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.352,"2022","202303",0,0,2.447,4380.17,3.41,6.395,4.634,4.53,4.599,,4.1,3.183,3.249,3.997
"90",다라25bb68bb,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.825,"2022","202303",0,0,3.147,16547.54,2.924,5.194,4.208,4.307,3.442,6,3.567,3.122,2.824,3.765
"91",다라27aa69aa,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.574,"2022","202303",0,0,2.803,3804.46,3.18,4.424,3.438,3.473,2.672,,3.355,2.558,2.053,3.431
"92",다라26aa69ba,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.387,"2022","202303",0,0,3.616,3328.11,3.859,5.238,4.251,4.287,3.485,0,4.168,3.372,2.867,4.245
"93",다라25aa69aa,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.663,"2022","202303",0,0,3.757,2436.77,4.171,5.158,4.918,5.173,4.372,,4.437,3.945,3.754,4.759
"94",다라25aa68aa,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.446,"2022","202303",0,0,2.541,10984.72,3.159,6.091,4.383,4.279,4.349,0,3.849,2.932,2.998,3.746
"95",다라25ba68ab,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.217,"2022","202303",0,0,2.54,18241.29,2.317,5.705,3.822,3.7,3.788,,2.959,2.514,2.676,3.158
"96",다라26aa67bb,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.495,"2022","202303",0,0,1.818,29840.51,1.594,6.49,3.1,2.978,3.066,8,2.237,1.792,1.954,2.436
"97",다라26aa67ba,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.729,"2022","202303",0,0,2.037,9582.07,1.782,6.801,3.288,3.184,3.254,,2.482,1.945,1.995,2.623
"98",다라26aa69aa,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.19,"2022","202303",0,0,3.122,10602.55,3.289,4.743,3.757,3.792,2.991,,3.674,2.877,2.373,3.75
"99",다라25aa69ab,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.935,"2022","202303",0,0,3.98,,4.394,5.021,4.781,5.036,4.234,,4.3,4.121,3.617,4.982
"100",다라26ab69aa,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.995,"2022","202303",0,0,2.954,5981.73,3.331,4.576,3.589,3.625,2.824,,3.507,2.71,2.205,3.583
"101",다라26bb69ba,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.743,"2022","202303",0,0,1.973,6503.44,2.349,3.594,2.607,2.643,1.842,0,2.525,1.728,1.223,2.601
"102",다라26ab68aa,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.764,"2022","202303",0,0,2.086,4172.21,1.863,6.689,3.369,3.246,3.335,,2.505,2.026,2.076,2.704
"103",다라27ab69ab,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,1.329,"2022","202303",0,0,1.559,2913.09,2.383,3.628,2.641,1.881,1.876,,1.937,1.313,0.809,2.635
"104",다라26aa68ba,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,0.582,"2022","202303",0,0,0.626,4050,1.916,6.711,3.422,3.268,3.388,,2.527,2.08,2.129,2.758
"105",다라25ba69bb,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.25,"2022","202303",0,0,3.479,39911.31,3.525,4.136,3.895,4.15,3.349,0,3.414,3.235,2.73,4.225
"106",다라26aa68bb,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.357,"2022","202303",0,0,3.425,3350.35,3.456,5.046,4.06,4.095,3.294,,3.977,3.18,2.676,4.053
"107",다라25bb67ba,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.435,"2022","202303",0,0,6.378,9570.01,3.462,9.166,3.083,2.978,2.968,,5.118,3.189,2.11,4.025
"108",다라25ba69ab,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,4.206,"2022","202303",0,0,4.148,4288.46,4.664,4.804,4.563,4.818,4.017,,4.082,3.903,3.399,4.893
"109",다라26aa68ab,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.11,"2022","202303",0,0,2.432,2748.51,2.209,6.658,3.715,3.592,3.681,,2.851,2.407,2.568,3.05
"110",다라26bb69ab,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.06,"2022","202303",0,0,2.289,9147.92,2.666,3.91,2.924,2.959,2.158,0,2.841,2.044,1.54,2.917
"111",다라25ab68ab,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.865,"2022","202303",0,0,2.96,3130.24,3.373,5.896,4.598,4.494,4.563,,4.063,3.147,3.213,3.961
"112",다라24bb68ab,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.751,"2022","202303",0,0,2.846,2850,3.444,6.376,4.668,4.564,4.633,,4.134,3.217,3.283,4.031
"113",다라25bb68ab,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,2.416,"2022","202303",0,0,2.739,3015.63,2.516,5.902,4.022,3.899,3.987,,3.158,2.713,2.875,3.357
"114",다라25ba69aa,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.096,"2022","202303",0,0,3.419,3050.11,3.195,5.297,4.311,4.346,3.545,,3.838,3.393,2.927,4.036
"115",다라26ab69ab,"46170103",안창동,Anchang-dong,"46170",나주시,Naju-si,"46",전라남도,Jellanam-do,3.198,"2022","202303",0,0,3.396,10777.61,3.661,5.018,4.031,4.066,3.265,,3.948,3.152,2.647,4.025
